3천만원 이상 5천만원 미만-아파트-전세-대학원 졸업,38
3천만원 이상 5천만원 미만-연립/빌라-전세-대학 재학,35
연간 1억원 이상-아파트-전세-대학원 졸업,34
5천만원 이상 7천만원 미만-아파트-월세-고졸,33
7천만원 이상 1억원 미만-연립/빌라-자가-고졸,33
1천만원 미만-단독주택-월세-고졸,33
1천만원 이상 3천만원 미만-단독주택-월세-대학 졸업,33
3천만원 이상 5천만원 미만-단독주택-월세-대학 졸업,32
1천만원 미만-단독주택-자가-대학 졸업,32
연간 1억원 이상-연립/빌라-자가-대학 졸업,32
1천만원 이상 3천만원 미만-연립/빌라-월세-대학 재학,32
7천만원 이상 1억원 미만-아파트-월세-대학 졸업,32
1천만원 이상 3천만원 미만-기타-월세-대학 졸업,30
3천만원 이상 5천만원 미만-오피스텔-월세-대학 졸업,30
1천만원 이상 3천만원 미만-아파트-자가-대학원 졸업,30
1천만원 이상 3천만원 미만-아파트-월세-대학 재학,28
5천만원 이상 7천만원 미만-연립/빌라-자가-대학 재학,28
3천만원 이상 5천만원 미만-아파트-월세-대학 재학,28
5천만원 이상 7천만원 미만-연립/빌라-월세-고졸,28
3천만원 이상 5천만원 미만-단독주택-월세-고졸,27
1천만원 미만-아파트-전세-대학 재학,27
7천만원 이상 1억원 미만-단독주택-자가-고졸,25
3천만원 이상 5천만원 미만-연립/빌라-전세-대학원 졸업,25
3천만원 이상 5천만원 미만-아파트-자가-대학원 재학,25
7천만원 이상 1억원 미만-아파트-전세-대학 재학,24
1천만원 미만-연립/빌라-전세-대학 재학,23
1천만원 미만-아파트-월세-대학 졸업,23
연간 1억원 이상-아파트-전세-고졸,23
5천만원 이상 7천만원 미만-주상복합-자가-대학 졸업,23
5천만원 이상 7천만원 미만-단독주택-자가-대학 재학,22
3천만원 이상 5천만원 미만-주상복합-자가-대학 졸업,22
1천만원 미만-연립/빌라-월세-대학 졸업,22
1천만원 미만-단독주택-자가-대학 재학,22
1천만원 미만-연립/빌라-자가-대학 졸업,22
1천만원 미만-연립/빌라-전세-대학 졸업,21
7천만원 이상 1억원 미만-아파트-월세-고졸,20
1천만원 미만-단독주택-전세-고졸,20
연간 1억원 이상-아파트-전세-대학 재학,20
1천만원 이상 3천만원 미만-연립/빌라-기타-고졸,20
5천만원 이상 7천만원 미만-단독주택-전세-고졸,20
5천만원 이상 7천만원 미만-연립/빌라-전세-대학원 졸업,19
7천만원 이상 1억원 미만-아파트-자가-대학원 재학,19
1천만원 미만-아파트-월세-대학 재학,19
1천만원 미만-연립/빌라-자가-대학 재학,19
1천만원 이상 3천만원 미만-기타-월세-고졸,19
7천만원 이상 1억원 미만-아파트-기타-대학 졸업,19
5천만원 이상 7천만원 미만-연립/빌라-자가-대학원 졸업,19
1천만원 미만-아파트-전세-대학 졸업,18
3천만원 이상 5천만원 미만-오피스텔-전세-대학 졸업,18
5천만원 이상 7천만원 미만-아파트-기타-고졸,18
1천만원 이상 3천만원 미만-기타-전세-대학 졸업,17
1천만원 미만-기타-월세-고졸,17
5천만원 이상 7천만원 미만-단독주택-자가-대학원 졸업,17
1천만원 미만-연립/빌라-월세-대학 재학,17
5천만원 이상 7천만원 미만-단독주택-월세-대학 졸업,16
1천만원 미만-아파트-기타-고졸,16
3천만원 이상 5천만원 미만-단독주택-전세-대학 재학,16
1천만원 이상 3천만원 미만-오피스텔-월세-대학 졸업,16
연간 1억원 이상-아파트-자가-대학원 재학,16
1천만원 미만-아파트-자가-대학원 졸업,15
1천만원 이상 3천만원 미만-주상복합-자가-고졸,15
1천만원 이상 3천만원 미만-기타-기타-고졸,15
3천만원 이상 5천만원 미만-연립/빌라-월세-대학 재학,15
7천만원 이상 1억원 미만-오피스텔-전세-대학 졸업,15
7천만원 이상 1억원 미만-주상복합-자가-대학 졸업,15
1천만원 이상 3천만원 미만-오피스텔-월세-고졸,14
5천만원 이상 7천만원 미만-연립/빌라-전세-대학 재학,14
연간 1억원 이상-연립/빌라-전세-대학 졸업,14
1천만원 이상 3천만원 미만-단독주택-전세-대학 재학,13
3천만원 이상 5천만원 미만-단독주택-자가-대학원 졸업,13
5천만원 이상 7천만원 미만-주상복합-전세-대학 졸업,13
5천만원 이상 7천만원 미만-오피스텔-전세-대학 졸업,13
1천만원 이상 3천만원 미만-아파트-자가-대학원 재학,13
3천만원 이상 5천만원 미만-주상복합-전세-대학 졸업,13
5천만원 이상 7천만원 미만-오피스텔-자가-대학 졸업,13
1천만원 이상 3천만원 미만-주상복합-월세-고졸,13
5천만원 이상 7천만원 미만-연립/빌라-월세-대학 재학,12
1천만원 이상 3천만원 미만-기타-자가-대학 졸업,12
3천만원 이상 5천만원 미만-아파트-전세-대학원 재학,12
7천만원 이상 1억원 미만-연립/빌라-전세-고졸,12
1천만원 미만-단독주택-전세-대학 졸업,12
3천만원 이상 5천만원 미만-연립/빌라-자가-대학원 졸업,12
3천만원 이상 5천만원 미만-연립/빌라-기타-대학 졸업,12
3천만원 이상 5천만원 미만-기타-전세-고졸,12
3천만원 이상 5천만원 미만-기타-월세-고졸,12
1천만원 미만-기타-월세-대학 졸업,12
1천만원 미만-연립/빌라-기타-고졸,11
3천만원 이상 5천만원 미만-기타-월세-대학 졸업,11
3천만원 이상 5천만원 미만-아파트-기타-대학 재학,11
1천만원 미만-단독주택-기타-고졸,11
1천만원 미만-기타-기타-고졸,11
7천만원 이상 1억원 미만-기타-자가-대학 졸업,11
3천만원 이상 5천만원 미만-오피스텔-자가-대학 졸업,11
3천만원 이상 5천만원 미만-기타-기타-대학 졸업,11
3천만원 이상 5천만원 미만-주상복합-자가-고졸,11
